,K,precision,recall,f1
0,100,0.3365650969529086,0.40298507462686567,0.3667924528301887
1,307,0.37378114842903576,0.3814262023217247,0.37756497948016415
2,514,0.36715766503000546,0.37202874516307355,0.36957715540911595
3,721,0.37630279758639607,0.37921503593145384,0.3777533039647577
4,929,0.4291898577612863,0.38363736871199555,0.40513718622300054
5,1136,0.42369477911646586,0.34991708126036486,0.38328792007266127
6,1343,0.42412698412698413,0.3692647871752349,0.3947990543735225
7,1550,0.42924211938296447,0.35378662244333886,0.38787878787878793
8,1757,0.4210169491525424,0.34328358208955223,0.3781973203410475
9,1964,0.4414668547249647,0.3460475400773908,0.3879764487139758
10,2171,0.4291695743196092,0.33996683250414594,0.37939543491671807
11,2379,0.43558718861209966,0.3383084577114428,0.3808338518979465
12,2586,0.41386554621848737,0.32669983416252074,0.36515291936978683
13,2793,0.4326241134751773,0.33720287451630737,0.37899968934451694
