,K,precision,recall,f1
0,100,0.29092526690391457,0.18076285240464346,0.2229798840777361
1,100,0.2345301757066463,0.16970702045328911,0.19692110327132778
2,100,0.23567921440261866,0.15920398009950248,0.19003629165291983
3,100,0.25395629238884704,0.18629076838032063,0.21492346938775514
4,100,0.2617621899059025,0.1691542288557214,0.20550705171255876
5,307,0.3530701754385965,0.3559977888336097,0.35452793834296725
6,307,0.3561334087054833,0.3482587064676617,0.35215204024594743
7,307,0.3487348734873487,0.3504698728579326,0.34960022056796247
8,307,0.35568360398114196,0.37534549474847984,0.3652501344809037
9,307,0.3651804670912951,0.38032061912658927,0.37259680476577306
10,514,0.38621887666473653,0.3687119955776672,0.377262443438914
11,514,0.38327904451682954,0.3902708678828082,0.38674335798411397
12,514,0.38153503893214685,0.37921503593145384,0.38037149986138064
13,514,0.3901162790697674,0.37092316196793806,0.38027769906489084
14,514,0.3855763770584895,0.37534549474847984,0.38039215686274513
15,721,0.40203714799281004,0.37092316196793806,0.38585393904542836
16,721,0.39164179104477614,0.36263128800442235,0.37657864523536166
17,721,0.3912794033275961,0.377003869541183,0.384009009009009
18,721,0.412190706095353,0.3775566611387507,0.39411425274091166
19,721,0.3844837421563035,0.37258153676064126,0.37843907916900615
20,929,0.4103942652329749,0.37976782752902155,0.3944875107665805
21,929,0.40143798681845416,0.37037037037037035,0.3852788959171937
22,929,0.391156462585034,0.3814262023217247,0.3862300587741394
23,929,0.3952662721893491,0.3692647871752349,0.38182337810803085
24,929,0.40419336051252186,0.38363736871199555,0.3936471922858763
25,1136,0.38601645123384254,0.36318407960199006,0.3742523497579037
26,1136,0.37943262411347517,0.3548922056384743,0.3667523564695801
27,1136,0.4057623049219688,0.3736871199557767,0.3890647482014389
28,1136,0.39369158878504673,0.37258153676064126,0.38284578244816814
29,1136,0.41458607095926414,0.34881149806522943,0.3788652056439507
30,1343,0.4029658284977434,0.3454947484798231,0.3720238095238095
31,1343,0.3944197844007609,0.34383637368711994,0.3673951565268754
32,1343,0.3942189421894219,0.3543394140409066,0.373216885007278
33,1343,0.40049751243781095,0.3559977888336097,0.3769388352355868
34,1343,0.42277486910994766,0.35710337202874515,0.38717410848067124
35,1550,0.4222972972972973,0.3454947484798231,0.38005472788081485
36,1550,0.4026315789473684,0.3383084577114428,0.3676779813757885
37,1550,0.41154562383612664,0.36650082918739635,0.3877192982456141
38,1550,0.4124111182934712,0.35268103924820343,0.3802145411203814
39,1550,0.4150096215522771,0.35765616362631286,0.3842042755344418
40,1757,0.43389830508474575,0.35378662244333886,0.389768574908648
41,1757,0.41164658634538154,0.33996683250414594,0.3723887375113533
42,1757,0.4259634888438134,0.3482587064676617,0.38321167883211676
43,1757,0.4231770833333333,0.359314538419016,0.3886397608370702
44,1757,0.4342194955691888,0.3521282476506357,0.3888888888888889
45,1964,0.40093395597064707,0.3322277501381979,0.3633615477629988
46,1964,0.40323668240053945,0.33056937534549474,0.3633049817739976
47,1964,0.42847548690396237,0.35268103924820343,0.38690115221346266
48,1964,0.4321917808219178,0.34881149806522943,0.38605078005506266
49,1964,0.44021739130434784,0.3582089552238806,0.3950015239256324
50,2171,0.4143239625167336,0.3421779988944168,0.37481077808053287
51,2171,0.4084124830393487,0.3327805417357656,0.3667377398720682
52,2171,0.4227212681638045,0.35378662244333886,0.3851941017153174
53,2171,0.4174560216508796,0.3410724156992814,0.3754183145725586
54,2171,0.4417932031814895,0.3377556661138751,0.38283208020050125
55,2379,0.4340859431900947,0.3294637921503593,0.37460716530483973
56,2379,0.43128654970760233,0.326147042564953,0.37141957821844507
57,2379,0.4257493188010899,0.3454947484798231,0.3814464449191334
58,2379,0.4261954261954262,0.33996683250414594,0.37822878228782286
59,2379,0.43272727272727274,0.3289110005527916,0.37374371859296485
60,2586,0.45122859270290394,0.33499170812603646,0.38451776649746194
61,2586,0.41371841155234657,0.3167495854063018,0.35879774577332496
62,2586,0.441747572815534,0.3521282476506357,0.39187942171639495
63,2586,0.4260686755430974,0.33609729132117194,0.3757725587144623
64,2586,0.4546153846153846,0.32669983416252074,0.3801865551624316
65,2793,0.4511558538404176,0.33443891652846874,0.3841269841269841
66,2793,0.41619718309859155,0.32669983416252074,0.36605760297305673
67,2793,0.4267386900742741,0.34936428966279715,0.3841945288753799
68,2793,0.4440380395025604,0.33554449972360423,0.38224181360201515
69,2793,0.4355426074289876,0.33056937534549474,0.37586423632935256
