,K,acc,precision,recall,f1
0,100,0.15401785714285715,0.1412318432219557,0.15401785714285712,0.10826967487958238
1,100,0.09464285714285714,0.0940558586211411,0.09464285714285713,0.06104507882585214
2,100,0.11696428571428572,0.11842117318683187,0.11696428571428572,0.07023405280356339
3,100,0.12566964285714285,0.11145116844148874,0.12566964285714288,0.07777922669484275
4,100,0.12834821428571427,0.07054442215900537,0.1283482142857143,0.0762841218478596
5,450,0.36316964285714287,0.3555550899598505,0.3631696428571428,0.31528482402932745
6,450,0.3580357142857143,0.31283482167747845,0.35803571428571423,0.30347360945673246
7,450,0.3464285714285714,0.31703473924458636,0.3464285714285714,0.2932084899111913
8,450,0.35245535714285714,0.316382051011195,0.35245535714285714,0.2936616168386258
9,450,0.35535714285714287,0.3275729878699264,0.3553571428571428,0.29792191482973973
10,800,0.3752232142857143,0.35620584361425933,0.37522321428571426,0.3323821002197832
11,800,0.3734375,0.35785692911054534,0.3734375,0.3321994690536391
12,800,0.36941964285714285,0.3429082488576469,0.3694196428571428,0.3228308910926998
13,800,0.3698660714285714,0.34172214584857186,0.3698660714285714,0.32101392767722764
14,800,0.3609375,0.35247423473020834,0.3609375,0.31630007016493006
15,1150,0.3756696428571429,0.36324496067730316,0.3756696428571429,0.3410814976614246
16,1150,0.3703125,0.3666906236445494,0.3703125,0.3362176460676385
17,1150,0.36227678571428573,0.34990499436614625,0.3622767857142857,0.3303046054819179
18,1150,0.3542410714285714,0.3572103691123619,0.3542410714285714,0.3203155557259865
19,1150,0.3542410714285714,0.35759670832779455,0.3542410714285714,0.3216289045719496
20,1500,0.3845982142857143,0.37363028631981465,0.3845982142857143,0.3468754967389629
21,1500,0.3814732142857143,0.36431861443134206,0.3814732142857143,0.3419984992103864
22,1500,0.3845982142857143,0.3689646441658737,0.3845982142857143,0.3458865773786936
23,1500,0.3810267857142857,0.3798841319144477,0.3810267857142857,0.34688208284729705
24,1500,0.37991071428571427,0.367664748768309,0.3799107142857142,0.3399522636754176
25,1850,0.3756696428571429,0.3606207810723016,0.3756696428571429,0.33545386403992505
26,1850,0.3747767857142857,0.36530539790623273,0.37477678571428574,0.3400328173141438
27,1850,0.37879464285714287,0.35891207491509564,0.3787946428571428,0.3435777609982491
28,1850,0.36830357142857145,0.36026574073372686,0.3683035714285714,0.3325864015095997
29,1850,0.378125,0.3821183697250133,0.378125,0.34336458710511764
30,2200,0.3756696428571429,0.36992094315433566,0.3756696428571429,0.34273810420265477
31,2200,0.3814732142857143,0.37263754957841183,0.38147321428571423,0.34867053839054646
32,2200,0.37098214285714287,0.3618282178549999,0.3709821428571428,0.33941674858296544
33,2200,0.36607142857142855,0.3612543409715889,0.36607142857142855,0.3288037430562558
34,2200,0.36495535714285715,0.36406482669671225,0.36495535714285715,0.3267667841494646
35,2550,0.39017857142857143,0.3855295650616454,0.39017857142857143,0.3588251781536126
36,2550,0.37723214285714285,0.37722040015805014,0.3772321428571429,0.34621035088749624
37,2550,0.3678571428571429,0.37517822042800403,0.3678571428571428,0.33632580207168383
38,2550,0.3756696428571429,0.3852008592380831,0.3756696428571429,0.3431820771528179
39,2550,0.37388392857142855,0.3751055007963497,0.37388392857142855,0.3400656799891615
40,2900,0.37276785714285715,0.38886462132960364,0.3727678571428571,0.3458245973630231
