K,acc,precision,recall,f1
500,0.18035714285714285,0.1577293025939978,0.18035714285714285,0.11482035100647095
500,0.19888392857142856,0.17642713004046334,0.1988839285714286,0.14851368873084153
500,0.07522321428571428,0.05937567923239795,0.07522321428571428,0.03446343600875722
1125,0.3107142857142857,0.2664999873707944,0.3107142857142857,0.23749888883434456
1125,0.3109375,0.2776583536179182,0.3109375,0.24024983429282845
1125,0.2924107142857143,0.26958828158135667,0.29241071428571425,0.22187039701058064
1750,0.3625,0.3393350140121172,0.36250000000000004,0.2989883242363969
1750,0.3776785714285714,0.33530564357455916,0.3776785714285714,0.31774156915117524
1750,0.3453125,0.2918479618627017,0.34531249999999997,0.2802161810343961
2375,0.3796875,0.36184113440684346,0.37968749999999996,0.3316085998398789
2375,0.3957589285714286,0.3668620573080209,0.3957589285714286,0.3425877810804796
2375,0.36629464285714286,0.34240200893422124,0.36629464285714286,0.32061718261559397
3000,0.38058035714285715,0.3601462466118214,0.3805803571428571,0.33861898907950694
3000,0.37544642857142857,0.352235750553485,0.3754464285714285,0.3326159507723549
3000,0.38571428571428573,0.3557155309402573,0.38571428571428573,0.3370231776259143
