,K,acc,precision,recall,f1
0,100,0.6747252747252748,0.6851209522016976,0.6745944627393585,0.6699905295024987
1,100,0.582967032967033,0.6346709457771114,0.5833064645652271,0.5391834816202802
2,100,0.5554945054945055,0.6025528481237142,0.5558653011294543,0.4986159309766872
3,100,0.7329670329670329,0.7358178367564912,0.7330270897561766,0.7321905440118008
4,100,0.6120879120879121,0.6638492134437657,0.611778301869704,0.578466533079807
5,450,0.7956043956043956,0.8040678058708629,0.795695925245653,0.7942065108361956
6,450,0.7208791208791209,0.7602542178933348,0.7210925263766772,0.7100325670786478
7,450,0.7159340659340659,0.759528559581045,0.7161589375183401,0.7036184478884854
8,450,0.7445054945054945,0.8040918475129633,0.7447485143684511,0.7314696444566711
9,450,0.7708791208791209,0.7741174055829229,0.7709386196577945,0.7702264402173666
10,800,0.7972527472527473,0.802233859207212,0.7973231461455695,0.7964400190956831
11,800,0.7148351648351648,0.7665843436611286,0.7150769412835905,0.700437555637941
12,800,0.7626373626373626,0.7802106954805164,0.762774740701293,0.7589199969092307
13,800,0.8010989010989011,0.8075889887970424,0.8010189602933948,0.8000148128181872
14,800,0.8038461538461539,0.8043006565038389,0.8038247842347352,0.8037650508255585
15,1150,0.7730769230769231,0.805100422832981,0.7732547678478057,0.767039169689244
16,1150,0.7824175824175824,0.7931157609083768,0.7825223795705586,0.780456778570593
17,1150,0.6862637362637363,0.7672461511849161,0.6865658574639023,0.6607624406745579
18,1150,0.7406593406593407,0.7889027444062573,0.7408836383089461,0.7294788222327193
19,1150,0.7818681318681319,0.798505440340328,0.78199768385181,0.7788389519413803
20,1500,0.8,0.8000050719063485,0.8000021736531502,0.7999997584829833
21,1500,0.7225274725274725,0.7868314676616915,0.7227873720412656,0.7062037956641165
22,1500,0.7857142857142857,0.7957763639839992,0.7858154640930612,0.7839166791482335
23,1500,0.8065934065934066,0.8082051282051282,0.8066330233462424,0.8063539505438436
24,1500,0.778021978021978,0.7864253956409539,0.7781159016011371,0.7764212067805846
25,1850,0.7329670329670329,0.7866714366934808,0.7332046047634402,0.7199765982342303
26,1850,0.771978021978022,0.8010596118496986,0.7721486199113874,0.766409695683141
27,1850,0.7203296703296703,0.7462058290546663,0.7205074514037573,0.7128884682126518
28,1850,0.7670329670329671,0.8052034386167195,0.7672271069038847,0.759601246105919
29,1850,0.739010989010989,0.779647761665989,0.7392201898565268,0.7292832817943398
30,2200,0.7538461538461538,0.7955533639871935,0.7540523536437069,0.744944944944945
31,2200,0.7725274725274726,0.7732227703295705,0.7725549722919602,0.7723944438000232
32,2200,0.7296703296703296,0.7674282366725249,0.729876500273518,0.7198948948948949
33,2200,0.8175824175824176,0.8229923220585184,0.8176534448175883,0.8168383579715206
34,2200,0.717032967032967,0.777541784663224,0.7172892371564269,0.7008748445414047
35,2550,0.8120879120879121,0.8126385983674882,0.8120647410514926,0.8119971003986952
36,2550,0.8098901098901099,0.8101090667391764,0.8098753892952413,0.8098513040337902
37,2550,0.737912087912088,0.7871648580798107,0.7381394012068605,0.7262920604393439
38,2550,0.7708791208791209,0.7993930905695612,0.7710485099003863,0.7653652321692076
39,2550,0.765934065934066,0.7868762816131237,0.7660823162447968,0.761650041317436
40,2900,0.8071428571428572,0.8123231340643793,0.8070719805240678,0.8063148243653658
41,2900,0.771978021978022,0.7997151307844942,0.7721449971561372,0.7666504468182064
42,2900,0.7939560439560439,0.7954704374174502,0.7939165486252248,0.7936764320442721
43,2900,0.8005494505494506,0.8090367428003973,0.8006403823697408,0.7992036347953422
44,2900,0.7445054945054945,0.7828046847088246,0.7447074564756146,0.7356560698994943
45,3250,0.7670329670329671,0.7671609045846577,0.7670447615562874,0.7670101773026947
46,3250,0.7791208791208791,0.7834045740329183,0.7791882371552193,0.77831106263067
47,3250,0.7521978021978022,0.7809005376344086,0.7523732065852029,0.7457879344503154
48,3250,0.795054945054945,0.806631088764107,0.795161568846237,0.7931424305444462
49,3250,0.795054945054945,0.8036176577274918,0.7951470778252359,0.7936344217030709
50,3600,0.7961538461538461,0.8040689949230525,0.7962423574959032,0.7948516957198739
51,3600,0.7686813186813187,0.7939588879029873,0.768842251952967,0.763670992466477
52,3600,0.7747252747252747,0.7797442772161842,0.7747986653769658,0.7737416616130988
53,3600,0.7796703296703297,0.8055455931139603,0.7798300686270603,0.774971317183389
54,3600,0.7752747252747253,0.7780487804878049,0.7753293990211315,0.7747360476492664
55,3950,0.8060439560439561,0.8060724412948229,0.806049155958406,0.8060410868292642
56,3950,0.7769230769230769,0.7983436729163605,0.7770701329188902,0.7729080383891505
57,3950,0.765934065934066,0.7721859165162337,0.7660171066502919,0.7646197339084564
58,3950,0.798901098901099,0.8110441562748489,0.7990095387145739,0.7969589565204669
59,3950,0.7978021978021979,0.8135928505549725,0.7976787799526386,0.7951781732153627
60,4300,0.7945054945054945,0.8079012694682721,0.7946199669363204,0.7922891766268261
