K,acc,precision,recall,f1
500,0.7604395604395604,0.798740440845704,0.7606361075185455,0.7525989703886982
500,0.7549450549450549,0.7648584097563792,0.7548384915330172,0.7525784005686564
500,0.7774725274725275,0.7987462574850299,0.7776189803393072,0.7735009997483344
1000,0.7873626373626373,0.8006296477915564,0.7872470562094629,0.7849442666918258
1000,0.7868131868131868,0.7901686961258887,0.7868721010410591,0.7862183880764742
1000,0.7593406593406593,0.7739154711958787,0.7594671651577891,0.7561557549150602
1500,0.8021978021978022,0.812367722803184,0.8020985413579778,0.8005384730599079
1500,0.7554945054945055,0.7776199768150608,0.7556493849165378,0.7505985603756881
1500,0.7241758241758242,0.7745866819153668,0.7244109701859318,0.7110431341591774
2000,0.8005494505494506,0.8085807353641123,0.800637967199574,0.7992753788310356
2000,0.7631868131868131,0.7796989276029254,0.7630530890630227,0.759577352420762
2000,0.7769230769230769,0.7937583465533775,0.7770544343128056,0.7737360919900642
2500,0.8082417582417583,0.8105938907143726,0.8081938270665705,0.8078611813823964
2500,0.728021978021978,0.7705869720830351,0.7282396186929341,0.7170112696044848
2500,0.743956043956044,0.7543527587712731,0.7440668325888571,0.7413697413697413
3000,0.795054945054945,0.7957729942239071,0.7950818682307308,0.7949404796965822
3000,0.762087912087912,0.7875662076271186,0.7622512525676278,0.7567745326522304
3000,0.8054945054945055,0.8055298247987064,0.8055003085379888,0.8054907473154898
3500,0.782967032967033,0.8035238036053671,0.7831098697136454,0.779287265805491
3500,0.789010989010989,0.8094379635337311,0.7891520216785675,0.785525947530455
3500,0.7813186813186813,0.7814558894423911,0.7813063413915486,0.7812867234555465
4000,0.8054945054945055,0.8067323674215101,0.805529290579991,0.8053101837750025
4000,0.7291208791208791,0.7556163136950821,0.7292974632260152,0.7220142149920734
4000,0.795054945054945,0.8018796843889111,0.7951374171445684,0.7939210879810574
4500,0.7120879120879121,0.7586100386100386,0.7123206283306707,0.6986739733783599
4500,0.782967032967033,0.7948717948717949,0.7830772649163928,0.7807990452607741
4500,0.7060439560439561,0.7746887379739671,0.7063183266735016,0.6866301427881325
5000,0.7835164835164835,0.8082582399340728,0.7836720005699802,0.7791468937411608
5000,0.7593406593406593,0.7969468243408482,0.7595359975075444,0.7515641770726982
5000,0.7631868131868131,0.7652853839600828,0.76323543441062,0.7627397835373313
